ID,File,Loại file,Nhóm,Câu hỏi,Đáp án chuẩn,Câu trả lời hệ thống,Nguồn/Citation,Retrieval,Citation,Answer,Điểm,Hallucination,Mức độ lỗi,Ghi chú,Đề xuất fix,Latency ms
DIR-001,AI Document Question Answering System.pptx,PPTX,Direct,"Tài liệu ""AI Document Question Answering System.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 4-7,ĐỀ TÀI: AI Document Question Answering System AI Document Question Answering System Hệ thống hỏi đáp tài liệu AI Trích xuất nội dung văn bản; với PDF/DOCX/PPTX có phân tích ảnh chọn lọc. Nội dung.,AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 8) | AI Document Question Answering System.pptx (slide 9),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,133758.08
DIR-002,AI Document Question Answering System.pptx,PPTX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""AI Document Question Answering System.pptx"".",Slide: 1 > Slide 1 > Blocks: 4-7,Câu hỏi của bạn không rõ ràng và cụ thể. Bạn có thể cung cấp thêm thông tin hoặc cụ thể hóa câu hỏi để tôi có thể trả lời chính xác hơn.,AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 3) | AI Document Question Answering System.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,41623.97
DIR-003,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Direct,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 1-5,"Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử lý đoạn văn. Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Hệ thống hiển thị sách, bài viết, tài liệu số liên quan. Người dùng đặt mượn sách giấy hoặc mở tài liệu số. Tìm tài liệu.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 4) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2818.92
DIR-004,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".",Slide: 1 > Slide 1 > Blocks: 1-5,"Lưu thông tin sách, tác giả, thể loại, vị trí kệ, trạng thái mượn và lịch sử cập nhật. Giải pháp đề xuất: thư viện thông minh File PPTX mẫu • 3 File PPTX mẫu • 1 File PPTX mẫu • 6.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,31451.19
DIR-011,content_summary.md,MD,Direct,"Tài liệu ""content_summary.md"" nói về nội dung gì?",Test JPG.jpg (JPG),"Tài liệu ""content_summary.md"" nói về nội dung tổng quan của hệ thống trí tuệ nhân tạo, bao gồm các tính năng và kỹ thuật được sử dụng để xây dựng hệ thống, như khả năng hiểu và xử lý ngôn ngữ tự nhiên, phân loại các nút thành các nhóm chung, tìm kiếm ngữ nghĩa với tốc độ cực nhanh, và các phương pháp tối ưu khác.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- TÓM TẮT) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- Chương 1:),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,14371.62
DIR-012,content_summary.md,MD,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""content_summary.md"".",Test JPG.jpg (JPG),"Đề tài xây dựng một trợ lý hội thoại tư vấn pháp luật Công nghệ thông tin (CNTT) tại Việt Nam dựa trên:. - Kiến trúc Hybrid GraphRAG — kết hợp truy xuất vector (Qdrant) với truy hồi đồ thị tri thức (Neo - Từ khóa: RAG, GraphRAG, Knowledge Graph, PhoBERT, Qdrant, Neo4j, Vietnamese Legal NLP, Hierarchical Chunking, Multi-Query Retrieval. - Trong bối cảnh chuyển đổi số mạnh mẽ tại Việt Nam, lĩnh vực Công nghệ thông tin ngày càng gắn bó chặt chẽ với khung pháp lý quốc gia: từ Luật An ninh mạng, Luật Công nghệ thông tin, Luật Sở hữu trí tu - Truy xuất chính xác Điều / Khoản / Điểm trong các văn bản pháp luật CNTT còn hiệu lực; - Trình bày được mối liên hệ giữa các văn bản (Luật — Nghị định — Thông tư) thông qua đồ thị tri thức; - Sinh đáp án có trích dẫn rõ ràng, hạn chế tối đa hiện tượng “ảo giác” (hallucination) thường gặp ở các mô hình ngôn ngữ lớn. - Đề tài tích hợp ba thành phần cốt lõi.",content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- TÓM TẮT) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,19304.81
DIR-013,docx_01_thu_vien_so.docx,DOCX,Direct,"Tài liệu ""docx_01_thu_vien_so.docx"" nói về nội dung gì?",Tóm tắt nhanh,"Tài liệu ""docx_01_thu_vien_so.docx"" nói về việc xây dựng một thư viện số mini để quản lý và truy cập tài liệu học tập, bài giảng, biểu mẫu và tài nguyên tham khảo cho một nhóm lớp nhỏ.","docx_01_thu_vien_so.docx (trang 1, Tóm tắt nhanh) | docx_01_thu_vien_so.docx (trang 1, Mục tiêu) | docx_01_thu_vien_so.docx (trang 1)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,15425.93
DIR-014,docx_01_thu_vien_so.docx,DOCX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""docx_01_thu_vien_so.docx"".",Tóm tắt nhanh,"Câu hỏi yêu cầu một thông tin cụ thể xuất hiện trong file ""docx_01_thu_vien_so.docx"". Tuy nhiên, tôi không thấy thông tin cụ thể nào được yêu cầu. Nếu bạn có thể cung cấp thông tin cụ thể hơn, tôi sẽ trả lời trực tiếp và chính xác.","docx_01_thu_vien_so.docx (trang 1, Tóm tắt nhanh) | docx_01_thu_vien_so.docx (trang 1, Kết luận) | docx_01_thu_vien_so.docx (trang 1, Rủi ro cần lưu ý)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,16362.32
DIR-018,file_excel_mau_song_xanh.xlsx,XLSX,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""file_excel_mau_song_xanh.xlsx"".",Du_lieu_chien_dich,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Tăng structured extraction cho Excel/bảng, giữ header/sheet/row metadata và ưu tiên table retriever.",2766.24
DIR-030,ke_hoach_mau_du_lich_da_lat.md,MD,Direct,"Nêu một thông tin cụ thể xuất hiện trong file ""ke_hoach_mau_du_lich_da_lat.md"".",Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm,"Rủi ro lớn nhất khi đi Đà Lạt là thời tiết. Nếu trời mưa, nhóm nên chuyển sang các hoạt động trong nhà.",ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 8. Rủi ro và phương án xử lý) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 9. Kết luận) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 3. Lịch trình ngày 1: Đến nơi và làm quen thành phố),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,21641.42
