ID,File,Loai file,Nhom,Cau hoi,Dap an chuan,Cau tra loi he thong,Nguon/Citation,Retrieval,Citation,Answer,Diem,Hallucination,Muc do loi,Ghi chu,De xuat fix,Latency ms
NEG-015,ke_hoach_mau_du_lich_da_lat.md,MD,Negative/Hallucination,"Trong file ""ke_hoach_mau_du_lich_da_lat.md"" có thông tin về so dien thoai ca nhan không?",Không tìm thấy thông tin trong tài liệu.,Số điện thoại trong tài liệu: 250000300000.,ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 8. Rủi ro và phương án xử lý) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 9. Kết luận),Đúng,Đúng,Sai,0.0,Có,Critical,Có dấu hiệu suy đoán hoặc trả lời ngoài tài liệu.,Siết missing-evidence gate và prompt fallback cho câu hỏi không có thông tin.,464.46
NEG-019,noi_dung_mau_thanh_pho_xanh.pdf,PDF,Negative/Hallucination,"Trong file ""noi_dung_mau_thanh_pho_xanh.pdf"" có thông tin về luong nhan vien không?",Không tìm thấy thông tin trong tài liệu.,"bản, bảng và bố cục cơ bản trong một file PDF. Tài liệu PDF mẫu này có nội dung ngẫu nhiên, dùng để kiểm tra khả năng hiển thị văn.",noi_dung_mau_thanh_pho_xanh.pdf (trang 1),Đúng,Đúng,Sai,0.0,Có,Critical,Có dấu hiệu suy đoán hoặc trả lời ngoài tài liệu.,Siết missing-evidence gate và prompt fallback cho câu hỏi không có thông tin.,993.88
TAB-025,Test xlsx.xlsx,XLSX,Table/Numeric,"Trong file ""Test xlsx.xlsx"", ở sheet ""Sheet4"", dòng 13 có thông tin gì?",学科名: 平均点; 日本語: ?; 数学: ?; 文学: ?; 総計: ?,"Ở sheet 'Sheet4', dòng 13 có: 学科名: 平均点; 日本語:?; 数学:?; 文学:?; 総計:?; column_12: 合格者数; column_18: （10点）.","Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,427.47
TAB-026,Test xlsx.xlsx,XLSX,Table/Numeric,"Trong file ""Test xlsx.xlsx"", ở sheet ""Sheet4"", dòng 14 có thông tin gì?",学科名: 最高点; 日本語: ?; 数学: ?; 文学: ?; 総計: ?,"Ở sheet 'Sheet4', dòng 14 có: 学科名: 最高点; 日本語:?; 数学:?; 文学:?; 総計:?; column_12: 合格率; column_18: （5点）.","Test xlsx.xlsx (sheet Sheet4, A1:Z1000) | Test xlsx.xlsx (sheet Sheet2, A1:Z1000)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,408.81
TAB-035,xlsx_01_bao_cao_doanh_thu.xlsx,XLSX,Table/Numeric,"Trong file ""xlsx_01_bao_cao_doanh_thu.xlsx"", ở sheet ""KPI"", dòng 3 có thông tin gì?",Chỉ số: Đơn hàng đúng hạn; Mục tiêu: 95%; Thực tế: 97%; Đánh giá: Đạt,"Ở sheet 'Doanh thu', dòng 3 có: Tháng: 02/2026; Sản phẩm A: 135; Sản phẩm B: 88; Dịch vụ: 52; Tổng: 275; Ghi chú: Tăng nhờ chương trình combo.","xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI, A1:D6) | xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,515.1
TAB-036,xlsx_01_bao_cao_doanh_thu.xlsx,XLSX,Table/Numeric,"Trong file ""xlsx_01_bao_cao_doanh_thu.xlsx"", ở sheet ""KPI"", dòng 4 có thông tin gì?",Chỉ số: Chi phí quảng cáo; Mục tiêu: 25 triệu; Thực tế: 23 triệu; Đánh giá: Đạt,"Ở sheet 'Doanh thu', dòng 4 có: Tháng: 03/2026; Sản phẩm A: 128; Sản phẩm B: 105; Dịch vụ: 58; Tổng: 291; Ghi chú: Bắt đầu quảng cáo online.","xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI, A1:D6) | xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,491.02
TAB-037,xlsx_01_bao_cao_doanh_thu.xlsx,XLSX,Table/Numeric,"Trong file ""xlsx_01_bao_cao_doanh_thu.xlsx"", ở sheet ""KPI"", dòng 5 có thông tin gì?",Chỉ số: Tỷ lệ khách quay lại; Mục tiêu: 35%; Thực tế: 32%; Đánh giá: Theo dõi thêm,"Ở sheet 'Doanh thu', dòng 5 có: Tháng: 04/2026; Sản phẩm A: 150; Sản phẩm B: 112; Dịch vụ: 64; Tổng: 326; Ghi chú: Khách hàng doanh nghiệp tăng.","xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI, A1:D6) | xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,499.01
TAB-038,xlsx_01_bao_cao_doanh_thu.xlsx,XLSX,Table/Numeric,"Trong file ""xlsx_01_bao_cao_doanh_thu.xlsx"", ở sheet ""KPI"", dòng 6 có thông tin gì?",Chỉ số: Số lỗi vận hành; Mục tiêu: <= 5; Thực tế: 4; Đánh giá: Đạt,"Ở sheet 'Doanh thu', dòng 6 có: Tháng: 05/2026; Sản phẩm A: 162; Sản phẩm B: 120; Dịch vụ: 71; Tổng: 353; Ghi chú: Cần bổ sung nhân sự tư vấn.","xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI, A1:D6) | xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,635.38
TAB-034,xlsx_01_bao_cao_doanh_thu.xlsx,XLSX,Table/Numeric,"Trong file ""xlsx_01_bao_cao_doanh_thu.xlsx"", ở sheet ""KPI"", dòng 2 có thông tin gì?",Chỉ số: Tỷ lệ phản hồi khách hàng; Mục tiêu: 90%; Thực tế: 86%; Đánh giá: Cần cải thiện,"Ở sheet 'Doanh thu', dòng 2 có: Tháng: 01/2026; Sản phẩm A: 120; Sản phẩm B: 90; Dịch vụ: 45; Tổng: 255; Ghi chú: Sau Tết nhu cầu ổn định.","xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI, A1:D6) | xlsx_01_bao_cao_doanh_thu.xlsx (sheet KPI)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,442.3
SLD-001,AI Document Question Answering System.pptx,PPTX,Slide/Presentation,"Slide 1 của file ""AI Document Question Answering System.pptx"" nói về nội dung gì?","Slide: 1; Title: Slide 1; [4] textbox/text_box @ x=3043085,y=1287313,w=3922424,h=575310: TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH",Slide 1 nói về: TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH; ĐỀ TÀI: AI Document Question Answering System; Giảng viên hướng dẫn: Nguyễn Văn Huy; Sinh viên thực hiện: Huỳnh Ngọc Quang Vinh.,AI Document Question Answering System.pptx (slide 1),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,1609.23
