ID,Run,File,FileType,Group,Question,Expected,Actual,Sources,Retrieval,Citation,Answer,Score,Hallucination,Severity,Notes,Fix,LatencyMs
B300-DIR-001,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Tài liệu ""AI Document Question Answering System.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 4-7,"Tài liệu ""AI Document Question Answering System.pptx"" nói về hệ thống hỏi đáp tài liệu AI, bao gồm: - Giới thiệu đề tài và mục tiêu của hệ thống - Vấn đề thực tế và khó khăn hiện nay - Giải pháp đề xuất và kiến trúc tổng thể của hệ thống - Chức năng chính và pipeline xử lý tài liệu - Luồng hỏi đáp AI/RAG và giao diện hệ thống - Kết quả benchmark và kết luận Hệ thống này được thiết kế để hỗ trợ hỏi đáp dựa trên tài liệu, với các chức năng như: - Tạo/đổi tên/xóa workspace; quản lý tin nhắn và tài liệu - Upload đa định dạng: PDF, DOCX, PPTX, TXT/MD/CSV, ảnh - Hỏi đáp theo tài liệu đã ingest, hỗ trợ phản hồi thường và stream - Theo dõi upload job, retry job lỗi, export hội thoại ra PDF - Hỗ trợ cả guest session và user đăng nhập Kiến trúc tổng thể của hệ thống bao gồm: - Frontend web: quản lý workspace, upload, chat, theo dõi tiến độ - Backend FastAPI: auth, workspace, message, upload, ask, admin - Upload Job Worker: xử lý ingest nền, cập nhật trạng thái job - Data layer: PostgreSQL lưu metadata nghiệp vụ, FAISS lưu vector/chunk - AI layer: LLM provider + local semantic embeddings + local OCR/vision fallback.",AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,12300.15
B300-DIR-002,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""AI Document Question Answering System.pptx"".",Slide: 1 > Slide 1 > Blocks: 4-7,Câu hỏi của bạn không rõ ràng và cụ thể. Bạn có thể cung cấp thêm thông tin hoặc cụ thể hóa câu hỏi để tôi có thể trả lời chính xác hơn.,AI Document Question Answering System.pptx (slide 9) | AI Document Question Answering System.pptx (slide 3) | AI Document Question Answering System.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,22417.82
B300-DIR-003,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 1-5,"Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử lý đoạn văn. Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Hệ thống hiển thị sách, bài viết, tài liệu số liên quan. Người dùng đặt mượn sách giấy hoặc mở tài liệu số. Tìm tài liệu.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 4) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2257.81
B300-DIR-004,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".",Slide: 1 > Slide 1 > Blocks: 1-5,"Lưu thông tin sách, tác giả, thể loại, vị trí kệ, trạng thái mượn và lịch sử cập nhật. Giải pháp đề xuất: thư viện thông minh File PPTX mẫu • 3 File PPTX mẫu • 1 File PPTX mẫu • 6.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,32609.97
B300-DIR-011,Base 300,content_summary.md,MD,Base 300,"Tài liệu ""content_summary.md"" nói về nội dung gì?",Test JPG.jpg (JPG),"Tài liệu ""content_summary.md"" nói về nội dung tổng quan của hệ thống trí tuệ nhân tạo, bao gồm các tính năng và kỹ thuật được sử dụng để xây dựng hệ thống, như khả năng hiểu và xử lý ngôn ngữ tự nhiên, phân loại các nút thành các nhóm chung, tìm kiếm ngữ nghĩa với tốc độ cực nhanh, và các phương pháp tối ưu khác.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- TÓM TẮT) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- Chương 1:),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,12110.84
B300-DIR-012,Base 300,content_summary.md,MD,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""content_summary.md"".",Test JPG.jpg (JPG),"Đề tài xây dựng một trợ lý hội thoại tư vấn pháp luật Công nghệ thông tin (CNTT) tại Việt Nam dựa trên:. - Kiến trúc Hybrid GraphRAG — kết hợp truy xuất vector (Qdrant) với truy hồi đồ thị tri thức (Neo - Từ khóa: RAG, GraphRAG, Knowledge Graph, PhoBERT, Qdrant, Neo4j, Vietnamese Legal NLP, Hierarchical Chunking, Multi-Query Retrieval. - Trong bối cảnh chuyển đổi số mạnh mẽ tại Việt Nam, lĩnh vực Công nghệ thông tin ngày càng gắn bó chặt chẽ với khung pháp lý quốc gia: từ Luật An ninh mạng, Luật Công nghệ thông tin, Luật Sở hữu trí tu - Truy xuất chính xác Điều / Khoản / Điểm trong các văn bản pháp luật CNTT còn hiệu lực; - Trình bày được mối liên hệ giữa các văn bản (Luật — Nghị định — Thông tư) thông qua đồ thị tri thức; - Sinh đáp án có trích dẫn rõ ràng, hạn chế tối đa hiện tượng “ảo giác” (hallucination) thường gặp ở các mô hình ngôn ngữ lớn. - Đề tài tích hợp ba thành phần cốt lõi.",content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- TÓM TẮT) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- LỜI CẢM ƠN),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,17823.32
B300-DIR-013,Base 300,docx_01_thu_vien_so.docx,DOCX,Base 300,"Tài liệu ""docx_01_thu_vien_so.docx"" nói về nội dung gì?",Tóm tắt nhanh,"Tài liệu ""docx_01_thu_vien_so.docx"" nói về việc xây dựng một thư viện số mini để quản lý và truy cập tài liệu học tập, bài giảng, biểu mẫu và tài nguyên tham khảo cho một nhóm lớp nhỏ.","docx_01_thu_vien_so.docx (trang 1, Tóm tắt nhanh) | docx_01_thu_vien_so.docx (trang 1, Mục tiêu) | docx_01_thu_vien_so.docx (trang 1)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,16063.38
B300-DIR-014,Base 300,docx_01_thu_vien_so.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""docx_01_thu_vien_so.docx"".",Tóm tắt nhanh,"Câu hỏi yêu cầu một thông tin cụ thể xuất hiện trong file ""docx_01_thu_vien_so.docx"". Tuy nhiên, tôi không thấy thông tin cụ thể nào được yêu cầu. Nếu bạn có thể cung cấp thông tin cụ thể hơn, tôi sẽ trả lời trực tiếp và chính xác.","docx_01_thu_vien_so.docx (trang 1, Tóm tắt nhanh) | docx_01_thu_vien_so.docx (trang 1, Kết luận) | docx_01_thu_vien_so.docx (trang 1, Rủi ro cần lưu ý)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,16913.86
B300-DIR-016,Base 300,docx_02_ca_phe_sach.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""docx_02_ca_phe_sach.docx"".",Tóm tắt nhanh,"Nhân viên chào khách trong 10 giây đầu, xác nhận đơn trước khi pha và thông báo thời gian chờ nếu quán đông.","docx_02_ca_phe_sach.docx (trang 1, Phục vụ) | docx_02_ca_phe_sach.docx (trang 1, Tóm tắt nhanh) | docx_02_ca_phe_sach.docx (trang 1, Kiểm soát chất lượng)",Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2129.94
B300-DIR-018,Base 300,file_excel_mau_song_xanh.xlsx,XLSX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""file_excel_mau_song_xanh.xlsx"".",Du_lieu_chien_dich,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,"Tăng structured extraction cho Excel/bảng, giữ header/sheet/row metadata và ưu tiên table retriever.",2305.98
B300-DIR-019,Base 300,infographic_mau_an_toan_mang.png,PNG,Base 300,"Tài liệu ""infographic_mau_an_toan_mang.png"" nói về nội dung gì?",6f8d63eb72674dc2af6c4651b49853ad_infographic_mau_an_toan_mang.png,"Noi dung minh hoa dai hon, dung de kiem thu nhan dien chu trong anh PNG. Noi dung minh hoa dai hon, dung de kiem thu nhan dien chu trong anh PNG.",infographic_mau_an_toan_mang.png (6f8d63eb72674dc2af6c4651b49853ad_infographic_mau_an_toan_mang.png),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2096.37
B300-DIR-020,Base 300,infographic_mau_an_toan_mang.png,PNG,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""infographic_mau_an_toan_mang.png"".",6f8d63eb72674dc2af6c4651b49853ad_infographic_mau_an_toan_mang.png,"Noi dung minh hoa dai hon, dung de kiem thu nhan dien chu trong anh PNG. Noi dung minh hoa dai hon, dung de kiem thu nhan dien chu trong anh PNG.",infographic_mau_an_toan_mang.png (6f8d63eb72674dc2af6c4651b49853ad_infographic_mau_an_toan_mang.png),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,2117.76
B300-DIR-022,Base 300,jpeg_01_ke_hoach_du_lich.jpeg,JPEG,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""jpeg_01_ke_hoach_du_lich.jpeg"".",af1543170da2459e8e35a33eab1b7c94_jpeg_01_ke_hoach_du_lich.jpeg,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Rà soát OCR/Vision extraction và metadata ảnh; tăng kiểm tra fallback cho câu hỏi ảnh.,2079.15
B300-DIR-023,Base 300,jpeg_02_bang_an_toan_bep.jpeg,JPEG,Base 300,"Tài liệu ""jpeg_02_bang_an_toan_bep.jpeg"" nói về nội dung gì?",16a69c2060254036ad8ebc0c3ae0f81a_jpeg_02_bang_an_toan_bep.jpeg,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Rà soát OCR/Vision extraction và metadata ảnh; tăng kiểm tra fallback cho câu hỏi ảnh.,2063.98
B300-DIR-024,Base 300,jpeg_02_bang_an_toan_bep.jpeg,JPEG,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""jpeg_02_bang_an_toan_bep.jpeg"".",16a69c2060254036ad8ebc0c3ae0f81a_jpeg_02_bang_an_toan_bep.jpeg,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Rà soát OCR/Vision extraction và metadata ảnh; tăng kiểm tra fallback cho câu hỏi ảnh.,2068.38
B300-DIR-025,Base 300,jpg_01_infographic_giac_ngu.jpg,JPG,Base 300,"Tài liệu ""jpg_01_infographic_giac_ngu.jpg"" nói về nội dung gì?",8012c82141b74b7eb38bb4f20aa27ea9_jpg_01_infographic_giac_ngu.jpg,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Sai,Sai,Sai,0.0,Không,High,Fallback dù case có đáp án kỳ vọng. Citation không bao phủ đúng file kỳ vọng. Retrieval/citation có dấu hiệu sai hoặc thiếu nguồn.,Rà soát OCR/Vision extraction và metadata ảnh; tăng kiểm tra fallback cho câu hỏi ảnh.,2091.62
