ID,Run,File,FileType,Group,Question,Expected,Actual,Sources,Retrieval,Citation,Answer,Score,Hallucination,Severity,Notes,Fix,LatencyMs
B300-DIR-001,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Tài liệu ""AI Document Question Answering System.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 4-7,"Tài liệu ""AI Document Question Answering System.pptx"" có các ý chính: - TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH - ĐỀ TÀI: AI Document Question Answering System - Giảng viên hướng dẫn: Nguyễn Văn Huy - Sinh viên thực hiện: Huỳnh Ngọc Quang Vinh - Nội dung.",AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 4),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,6555.75
B300-DIR-002,Base 300,AI Document Question Answering System.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""AI Document Question Answering System.pptx"".",Slide: 1 > Slide 1 > Blocks: 4-7,"Một thông tin cụ thể trong ""AI Document Question Answering System.pptx"" là: TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI THÀNH PHỐ HỒ CHÍ MINH.",AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 2) | AI Document Question Answering System.pptx (slide 3),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,559.58
B300-DIR-003,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" nói về nội dung gì?",Slide: 1 > Slide 1 > Blocks: 1-5,"Tài liệu ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" có các ý chính: - BÀI TRÌNH CHIẾU MẪU - Thư viện thông minh - cho trường học hiện đại - LIBRARY - Một bộ slide có nội dung dài vừa phải, chủ đề riêng biệt so với PDF, Markdown và hình ảnh. Dùng để kiểm thử khả năng đọc PPTX, tách nội dung theo slide, nhận diện tiêu đề và xử...",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 7) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 2),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,440.46
B300-DIR-004,Base 300,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"".",Slide: 1 > Slide 1 > Blocks: 1-5,"Một thông tin cụ thể trong ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" là: BÀI TRÌNH CHIẾU MẪU.",bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 3) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1) | bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 5),Đúng,Đúng,Một phần,0.5,Không,Medium,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Tinh chỉnh citation selection và reranking để nguồn trả về sát hơn.,415.1
B300-DIR-005,Base 300,bao_cao_an_toan_du_lieu_ca_nhan.docx,DOCX,Base 300,"Tài liệu ""bao_cao_an_toan_du_lieu_ca_nhan.docx"" nói về nội dung gì?",1. Bối cảnh vấn đề,"Tài liệu ""bao_cao_an_toan_du_lieu_ca_nhan.docx"" có các ý chính: - 1. Bối cảnh vấn đề - 2. Nguyên nhân chính - 3. Tác động - 4. Bảng đề xuất biện pháp - 5. Kết luận.","bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 5. Kết luận) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 2. Nguyên nhân chính)",Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,292.35
B300-DIR-006,Base 300,bao_cao_an_toan_du_lieu_ca_nhan.docx,DOCX,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bao_cao_an_toan_du_lieu_ca_nhan.docx"".",1. Bối cảnh vấn đề,"Một thông tin cụ thể trong ""bao_cao_an_toan_du_lieu_ca_nhan.docx"" là: 1. Bối cảnh vấn đề.","bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 5. Kết luận) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 1. Bối cảnh vấn đề)",Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,372.89
B300-DIR-007,Base 300,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,Base 300,"Tài liệu ""bao_cao_mau_chuyen_doi_so_giao_duc.pdf"" nói về nội dung gì?",Page: 1 > File: 622ffb96990a4b598a0a7d08c5044369_bao_cao_mau_chuyen_doi_so_giao_duc.pdf,"Tài liệu ""bao_cao_mau_chuyen_doi_so_giao_duc.pdf"" có các ý chính: - paragraph - 2. Mục tiêu triển khai - BÁO CÁO MẪU: CHUYỂN ĐỔI SỐ TRONG - GIÁO DỤC - Tài liệu minh họa nội dung dài, có nhiều mục, bảng số liệu giả lập và khuyến nghị triển khai.",bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 2) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 3),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,494.64
B300-DIR-008,Base 300,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bao_cao_mau_chuyen_doi_so_giao_duc.pdf"".",Page: 1 > File: 622ffb96990a4b598a0a7d08c5044369_bao_cao_mau_chuyen_doi_so_giao_duc.pdf,"Một thông tin cụ thể trong ""bao_cao_mau_chuyen_doi_so_giao_duc.pdf"" là: paragraph.",bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 2) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 3),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,486.27
B300-DIR-009,Base 300,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Base 300,"Tài liệu ""bao_cao_quan_ly_rac_thai_nhua.pdf"" nói về nội dung gì?",Page: 1 > File: 3457847a7e04421b9303eb96a62b598a_bao_cao_quan_ly_rac_thai_nhua.pdf,"Tài liệu ""bao_cao_quan_ly_rac_thai_nhua.pdf"" có các ý chính: - 3. Hậu quả - 5. Kết luận - BÁO CÁO NGẮN: QUẢN LÝ RÁC THẢI NHỰA TẠI KHU - DÂN CƯ - Tài liệu PDF mẫu này trình bày một vấn đề môi trường khác với file DOCX: cách quản lý.",bao_cao_quan_ly_rac_thai_nhua.pdf (trang 1),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,401.2
B300-DIR-010,Base 300,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Base 300,"Nêu một thông tin cụ thể xuất hiện trong file ""bao_cao_quan_ly_rac_thai_nhua.pdf"".",Page: 1 > File: 3457847a7e04421b9303eb96a62b598a_bao_cao_quan_ly_rac_thai_nhua.pdf,"Một thông tin cụ thể trong ""bao_cao_quan_ly_rac_thai_nhua.pdf"" là: 3. Hậu quả.",bao_cao_quan_ly_rac_thai_nhua.pdf (trang 1),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,303.25
