STT,TestID,Group,File,Type,Question,Expected,Actual,Sources,LatencySec,Correctness,Groundedness,Completeness,RetrievalQuality,FormatHandling,HallucinationRisk,Conclusion,ErrorNote
1,A01,A-Direct,AI Document Question Answering System.pptx,PPTX,De tai trong slide dau la gi?,AI Document Question Answering System,De tai trong slide đầu là Luồng hỏi đáp AI/RAG.,AI Document Question Answering System.pptx (slide 1),0.088,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
2,B01,B-Detail,AI Document Question Answering System.pptx,PPTX,Giang vien huong dan trong PPTX la ai?,Nguyen Van Huy,Giảng viên hướng dẫn trong PPTX là Nguyễn Văn Huy.,AI Document Question Answering System.pptx (slide 1) | AI Document Question Answering System.pptx (slide 4) | AI Document Question Answering System.pptx (slide 12),0.856,5,5,5,5,5,5,Pass,
3,A02,A-Direct,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Bai trinh chieu mau noi ve chu de gi?,Thu vien thong minh cho truong hoc hien dai,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,2.254,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
4,B02,B-Detail,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Slide 1 co cac nhan chuc nang nao?,"Du lieu sach, Tim kiem nhanh, Goi y hoc tap",Slide 1 có các chức năng sau: - LIBRARY - Tìm kiếm nhanh - Gợi ý học tập,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx (slide 1),0.687,5,5,5,5,5,5,Pass,
5,A03,A-Direct,bao_cao_an_toan_du_lieu_ca_nhan.docx,DOCX,Tai lieu DOCX nay noi ve van de gi?,An toan du lieu ca nhan trong ung dung so,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,10.054,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
6,B03,B-Detail,bao_cao_an_toan_du_lieu_ca_nhan.docx,DOCX,Cac nguyen nhan thuong gap gay rui ro du lieu la gi?,"Mat khau yeu, thieu ma hoa, truy cap sai quyen, thieu quy trinh xoa/an danh","Nguyên nhân thường gặp gây rò rỉ dữ liệu cá nhân là người dùng đặt mật khẩu yếu, hệ thống thiếu mã hóa, nhân viên nội bộ truy cập dữ liệu không đúng quyền, và doanh nghiệp chưa có quy trình xóa hoặc ẩn danh dữ liệu khi không còn cần thiết.","bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 2. Nguyên nhân chính) | bao_cao_an_toan_du_lieu_ca_nhan.docx (trang 1, 3. Tác động)",0.577,5,5,5,5,5,5,Pass,
7,A04,A-Direct,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,PDF chuyen doi so giao duc noi ve noi dung gi?,Chuyen doi so trong giao duc,"Câu hỏi của bạn là: ""PDF chuyen doi so giao duc noi ve noi dung gi?"" Câu trả lời trực tiếp và đúng trọng tâm là: Chuyển đổi số trong giáo dục không chỉ là việc đưa máy tính hoặc phần mềm vào lớp học, mà là quá trình thay đổi toàn diện cách nhà trường quản lý dữ liệu, thiết kế bài giảng, đánh giá kết quả học tập và kết nối giữa giáo viên, học sinh, phụ huynh.",bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 4) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 3) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1),42.818,5,5,5,5,5,5,Pass,
8,B04,B-Detail,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,Muc tieu dau tien khi trien khai chuyen doi so giao duc la gi?,Tang hieu qua quan ly,Mục tiêu đầu tiên khi triển khai chuyển đổi số trong giáo dục là tăng hiệu quả quản lý.,bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 3),32.784,5,5,5,5,5,5,Pass,
9,A05,A-Direct,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Bao cao rac thai nhua noi ve van de gi?,Quan ly rac thai nhua tai khu dan cu,"Báo cáo về vấn đề rác thải nhựa ở khu dân cư này chủ yếu nói về thực trạng, nguyên nhân và hậu quả của vấn đề này, cũng như kế hoạch hành động đề xuất để giảm thiểu rác thải nhựa.",bao_cao_quan_ly_rac_thai_nhua.pdf (trang 1),13.775,5,5,5,5,5,5,Pass,
10,B05,B-Detail,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Ke hoach hanh dong de xuat gom nhung hoat dong nao?,"Phan loai tai nguon, ngay doi rac lay qua, giam nhua dung mot lan, theo doi so lieu","Để xả ra kế hoạch hành động đề xuất, cần xem xét các hoạt động và kết quả mong đợi được đề xuất trong tài liệu. - Hoạt động: Phân loại tại nguồn, Ngày đổi rác lấy quà, Giảm nhựa dùng một lần, Theo dõi số liệu. - Kết quả mong đợi: Giảm rác lẫn tạp chất, Tăng động lực tham gia, Giảm lượng rác phát sinh, Có cơ sở đánh giá hiệu quả. Vậy kế hoạch hành động đề xuất để xả ra những hoạt động này là: - Đặt thùng riêng cho nhựa, giấy, rác hữu cơ. - Người dân mang chai nhựa để đổi cây xanh hoặc nhu yếu phẩm. - Khuyến khích bình nước cá nhân, giảm lượng rác phát sinh. - Ghi nhận khối lượng rác nhựa thu gom mỗi tháng.",bao_cao_quan_ly_rac_thai_nhua.pdf (trang 1),13.052,5,5,5,5,5,5,Pass,
11,A06,A-Direct,content_summary.md,MD,File content_summary.md mo ta noi dung gi?,Tong hop/ket qua trich xuat noi dung tai lieu test,"3.3.1. - Độ chính xác và Khả năng kiểm soát ảo giác (Accuracy & Grounding) - Trong pha Offline, hệ thống thực hiện xử lý dữ liệu nguồn từ các văn bản pháp luật (DOCX), trích xuất metadata và áp dụng kỹ thuật phân mảnh dữ liệu 4 tầng (4-tier chunking) để xây dựng cấu trúc phân - ""chuong_so"": ""1"", ""chuong_ten"": ""Quy định chung"", - TEXT INDEX entity_name_idx FOR (n:Entity) ON n.name - 3.7.4. - Tổng hợp và Phản hồi có Căn cứ - Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- TÓM TẮT) | content_summary.md (- LỜI CẢM ƠN),35.75,5,5,5,5,5,5,Pass,
12,B06,B-Detail,content_summary.md,MD,content_summary.md ghi tong so paragraph la bao nhieu?,346,"Chatbot trí tuệ nhân tạo là một bước tiến vượt bậc so với các chương trình trả lời tự động truyền thống, nhờ khả năng hiểu và xử lý ngôn ngữ tự nhiên để tương tác với con người một cách linh hoạt. - Về - Dùng để phân loại các Nút thành các nhóm chung để dễ dàng quản lý và tăng tốc độ truy vấn. - Với Graph Traversal, hệ thống tự động thực hiện bước nhảy từ nút Luật qua quan hệ [:CO_NGHI_DINH_HUONG_DAN] để truy xuất chính xác các chế tài nằm ở văn bản khác. - Trong kiến trúc RAG, Qdrant đóng vai trò là kho lưu trữ vector mật độ cao (Dense Vector), cho phép thực hiện tìm kiếm ngữ nghĩa với tốc độ cực nhanh trên tập dữ liệu lớn. - Việc lựa chọn Qdrant thay vì - Phân tích chức năng cho thấy hệ thống phải vượt qua giới hạn của tìm kiếm truyền thống để đạt tới khả năng Suy luận đa chặng (Multi-hop Reasoning). - Điều này đòi hỏi một cơ chế điều phối dữ liệu chặt c.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- TÓM TẮT),1.089,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
13,E01,E-Format,file_excel_mau_song_xanh.xlsx,XLSX,File Excel song xanh co nhung sheet nao?,Du_lieu_chien_dich va Tong_quan,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,2.62,0,3,1,5,5,3,Fail,Answer mismatch/fallback sai
14,B07,B-Detail,file_excel_mau_song_xanh.xlsx,XLSX,Ngay 2026-05-01 co hoat dong gi va o khu vuc nao?,Doi rac lay cay tai Ky tuc xa,"Ở Du_lieu_chien_dich, dòng 3, Khu vực: Ký túc xá.","file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich) | file_excel_mau_song_xanh.xlsx (sheet Du_lieu_chien_dich, A1:L32)",0.431,1,3,1,5,5,3,Fail,Answer mismatch/fallback sai
15,A07,A-Direct,infographic_mau_an_toan_mang.png,PNG,Infographic PNG noi ve chu de gi?,An toan mang cho sinh vien,"Infographic PNG này nói về chủ đề ""An toàn mạng"" cho sinh viên.",infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png),23.002,5,5,5,5,5,5,Pass,
16,B08,B-Detail,infographic_mau_an_toan_mang.png,PNG,Infographic neu nhung bien phap an toan mang nao?,"Mat khau manh, xac thuc hai lop, canh giac lien ket la, sao luu du lieu","Câu hỏi của bạn là: Infographic neu nhung bien phap an toan mang nao? Dựa trên tài liệu, có 5 biện pháp an toàn mang được đề cập trong infographic: 1. **Mat khau manh** (Mật khẩu mạnh) 2. **Xac thuc hai lop** (Xác thực hai lớp) 3. **Canh giac lien ket la** (Cảnh giác liên kết lạ) 4. **Sao luu dt lieu** (Sao lưu dữ liệu) 5. **Cap nhat thiet bi** (Cập nhật thiết bị) Những biện pháp này được đề xuất để giúp sinh viên đảm bảo an toàn khi sử dụng mạng và tài khoản học tập.",infographic_mau_an_toan_mang.png (80895512cbb04522ae16053cf3708dec_infographic_mau_an_toan_mang.png),2.992,5,5,5,5,5,5,Pass,
