ID,File,Loai file,Nhom,Cau hoi,Dap an chuan,Cau tra loi he thong,Nguon/Citation,Retrieval,Citation,Answer,Diem,Hallucination,Muc do loi,Ghi chu,De xuat fix,Latency ms
NEG-001,AI Document Question Answering System.pptx,PPTX,Negative/Hallucination,"Trong file ""AI Document Question Answering System.pptx"" có thông tin về blockchain không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,6888.48
NEG-002,bai_trinh_chieu_mau_thu_vien_thong_minh.pptx,PPTX,Negative/Hallucination,"Trong file ""bai_trinh_chieu_mau_thu_vien_thong_minh.pptx"" có thông tin về mat khau admin không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,391.95
NEG-005,bao_cao_quan_ly_rac_thai_nhua.pdf,PDF,Negative/Hallucination,"Trong file ""bao_cao_quan_ly_rac_thai_nhua.pdf"" có thông tin về gia co phieu Apple không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,362.99
NEG-010,infographic_mau_an_toan_mang.png,PNG,Negative/Hallucination,"Trong file ""infographic_mau_an_toan_mang.png"" có thông tin về hop dong lao dong không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,329.8
NEG-015,ke_hoach_mau_du_lich_da_lat.md,MD,Negative/Hallucination,"Trong file ""ke_hoach_mau_du_lich_da_lat.md"" có thông tin về so dien thoai ca nhan không?",Không tìm thấy thông tin trong tài liệu.,Số điện thoại trong tài liệu: 250000300000.,ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 8. Rủi ro và phương án xử lý) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm) | ke_hoach_mau_du_lich_da_lat.md (Kế hoạch mẫu: Du lịch Đà Lạt 3 ngày 2 đêm > 9. Kết luận),Đúng,Đúng,Sai,0.0,Có,Critical,Có dấu hiệu suy đoán hoặc trả lời ngoài tài liệu.,Siết missing-evidence gate và prompt fallback cho câu hỏi không có thông tin.,464.46
NEG-019,noi_dung_mau_thanh_pho_xanh.pdf,PDF,Negative/Hallucination,"Trong file ""noi_dung_mau_thanh_pho_xanh.pdf"" có thông tin về luong nhan vien không?",Không tìm thấy thông tin trong tài liệu.,"bản, bảng và bố cục cơ bản trong một file PDF. Tài liệu PDF mẫu này có nội dung ngẫu nhiên, dùng để kiểm tra khả năng hiển thị văn.",noi_dung_mau_thanh_pho_xanh.pdf (trang 1),Đúng,Đúng,Sai,0.0,Có,Critical,Có dấu hiệu suy đoán hoặc trả lời ngoài tài liệu.,Siết missing-evidence gate và prompt fallback cho câu hỏi không có thông tin.,993.88
NEG-020,pdf_01_nang_luong_mat_troi.pdf,PDF,Negative/Hallucination,"Trong file ""pdf_01_nang_luong_mat_troi.pdf"" có thông tin về thong tin bao hiem không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,493.55
NEG-003,bao_cao_an_toan_du_lieu_ca_nhan.docx,DOCX,Negative/Hallucination,"Trong file ""bao_cao_an_toan_du_lieu_ca_nhan.docx"" có thông tin về CCCD cua sinh vien không?",Không tìm thấy thông tin trong tài liệu.,Tôi không tìm thấy đủ thông tin trong tài liệu để trả lời chính xác.,,Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,664.45
NEG-004,bao_cao_mau_chuyen_doi_so_giao_duc.pdf,PDF,Negative/Hallucination,"Trong file ""bao_cao_mau_chuyen_doi_so_giao_duc.pdf"" có thông tin về benh vien không?",Không tìm thấy thông tin trong tài liệu.,"Chuyển đổi số trong giáo dục không chỉ là việc đưa máy tính hoặc phần mềm vào lớp học. Một nguyên tắc quan trọng là không để công nghệ làm phức tạp quy trình hiện có. kết quả nào và có dễ sử dụng không. thông báo, quản lý tài liệu và theo dõi tiến độ có thể được tự động hóa một phần. cơ sai lệch thông tin giảm xuống.",bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 1) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 4) | bao_cao_mau_chuyen_doi_so_giao_duc.pdf (trang 2),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,131107.98
NEG-006,content_summary.md,MD,Negative/Hallucination,"Trong file ""content_summary.md"" có thông tin về dia chi nha rieng không?",Không tìm thấy thông tin trong tài liệu.,"Địa chỉ trong tài liệu: Để đảm bảo mô hình không chỉ phản hồi đúng mà còn chuyên nghiệp và chặt chẽ, hệ thống áp dụng chiến lược thiết kế câu lệnh kết hợp giữa hai phương pháp tối ưu:.",content_summary.md (- CHƯƠNG 1: TỔNG QUAN ĐỀ TÀI) | content_summary.md (- LỜI NÓI ĐẦU) | content_summary.md (- LỜI CẢM ƠN) | content_summary.md (- BÁO CÁO THỰC TẬP TỐT NGHIỆP) | content_summary.md (- TÓM TẮT),Đúng,Đúng,Đúng,1.0,Không,None,Đạt kỳ vọng theo bộ từ khóa chuẩn.,Không cần fix.,344.7
